date,open,high,low,close,volume
2018-05-22,244.6287,245.648,240.1015,242.55,12956637
2018-05-23,240.28,247.59,240.25,247.54,11073926
2018-05-24,247.39,249.4,245.241,247.69,10934295
2018-05-25,248.2,249.94,246.76,249.28,7302782
2018-05-29,248.55,251.34,246.7,248.59,8817083
2018-05-30,249.95,253.34,248.9515,252.99,9774864
2018-05-31,251.7,255.2,251.27,252.19,12346709
2018-06-01,254.0,257.87,253.65,257.62,10549248
2018-06-04,259.0,265.74,257.7,264.85,16050641
2018-06-05,264.98,266.59,263.17,265.07,9792801
2018-06-06,261.43,265.28,260.77,265.15,9283856
2018-06-07,265.0,265.4785,259.25,262.9,9236216
2018-06-08,259.96,264.0,259.2,262.28,9011443
2018-06-11,261.77,263.45,260.1,260.62,6634253
2018-06-12,261.69,263.07,259.66,262.58,7978985
2018-06-13,262.64,265.67,262.031,262.4,8455159
2018-06-14,264.22,269.2,263.62,266.91,10750411
2018-06-15,264.6,267.48,263.3484,265.26,10806488
2018-06-18,263.48,265.8,262.38,265.09,8906674
2018-06-19,260.92,263.64,255.02,260.17,14873324
2018-06-20,261.832,264.45,260.2808,262.31,9244494
2018-06-21,263.6,264.34,256.8,257.11,8987906
2018-06-22,257.95,258.49,250.3301,250.95,10853954
2018-06-25,246.65,246.8,235.54,239.12,16645431
2018-06-26,243.7,245.65,239.9101,241.99,11972137
2018-06-27,243.75,246.43,235.5,235.72,11347303
2018-06-28,235.32,241.34,235.01,240.86,8450297
2018-06-29,243.49,244.0,236.85,236.9,9807477
2018-07-02,234.09,242.39,233.2649,242.24,8939348
2018-07-03,243.64,243.88,236.5,236.84,5568325
2018-07-05,239.07,242.93,237.5,242.73,7655448
2018-07-06,241.74,247.665,240.88,247.33,7408822
2018-07-09,250.3297,250.72,246.0707,249.25,7597022
2018-07-10,249.75,254.14,248.12,253.25,9000390
2018-07-11,249.5,250.9,247.1,247.53,9187660
2018-07-12,249.36,253.17,248.96,251.23,8637673
2018-07-13,251.98,251.98,247.62,249.32,6179078
2018-07-16,248.2,250.34,247.7,248.2,4925926
